Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio12 contribution,bio14 contribution,bio15 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio12 permutation importance,bio14 permutation importance,bio15 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio12,Training gain without bio14,Training gain without bio15,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio12,Training gain with only bio14,Training gain with only bio15,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio12,Test gain without bio14,Test gain without bio15,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio12,Test gain with only bio14,Test gain with only bio15,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio12,AUC without bio14,AUC without bio15,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio12,AUC with only bio14,AUC with only bio15,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Mesfer_0,30,1.0649,1.3248,120,0.8978,4,1.7361,0.9511,0.0201,10030,1.2851,37.6919,2.3937,2.0147,0.1234,0.0000,0.1773,0.0000,56.3140,0.0000,28.4545,1.8526,8.6412,7.3530,0.0000,0.0000,0.0000,53.6987,1.0628,0.9824,1.0353,1.0475,1.0623,1.0649,1.0609,1.0649,0.7701,0.2151,0.5981,0.0207,0.0656,0.0206,0.2308,0.0000,0.0000,0.7711,1.7546,1.4435,1.6048,1.5170,1.7283,1.7362,1.6899,1.7361,1.2581,0.2016,0.7189,0.0577,0.3767,0.0713,0.2154,0.0000,0.0000,1.1083,0.9512,0.9280,0.9430,0.9436,0.9486,0.9511,0.9488,0.9511,0.9426,0.5322,0.9098,0.4930,0.8894,0.7278,0.7605,0.5000,0.5000,0.8467,8.1486,0.1979,1.0000,0.0440,0.8963,0.0000,0.0000,6.454E-1,5.0000,0.0758,0.6712,0.0333,0.0000,2.029E-1,10.0000,0.1221,0.4998,0.0333,0.0000,6.24E-2,4.5386,0.0722,0.6918,0.0000,0.0000,2.291E-1,25.4409,0.2603,0.2309,0.1000,0.0000,2.843E-3,32.1104,0.3448,0.1667,0.1667,0.0000,7.722E-4,34.7667,0.3766,0.1462,0.1667,0.0000,4.564E-4,43.2629,0.4876,0.0937,0.3667,0.0000,7.714E-5,43.2629,0.4876,0.0937,0.3667,0.0000,7.714E-5,4.5386,0.0722,0.6918,0.0000,0.0000,2.291E-1,17.3791,0.1829,0.3448,0.0667,0.0000,1.413E-2
Mesfer_1,30,1.1904,1.4590,120,0.9040,4,0.7596,0.8842,0.0319,10030,1.1838,35.4896,2.3235,2.0258,0.0291,0.0000,0.1567,0.0000,58.7915,0.0000,30.3116,6.3988,13.1173,2.9134,0.0000,0.8767,0.0000,46.3822,1.1887,1.0836,1.1603,1.1671,1.1896,1.1904,1.1872,1.1904,0.8455,0.2359,0.6546,0.0195,0.0749,0.0218,0.2237,0.0000,0.0000,0.8821,0.7702,0.6551,0.6414,0.5665,0.7461,0.7598,0.7163,0.7596,0.7456,0.0473,0.2931,0.0649,0.3158,0.0591,0.2559,0.0000,0.0000,0.2360,0.8872,0.8505,0.8693,0.8689,0.8816,0.8842,0.8812,0.8842,0.8896,0.4083,0.8643,0.5964,0.8609,0.8462,0.8201,0.5000,0.5000,0.7504,8.0229,0.1726,1.0000,0.0350,0.8862,0.0000,0.0000,6.169E-1,5.0000,0.0631,0.6431,0.0333,0.0000,1.71E-1,10.0000,0.1059,0.4659,0.0333,0.0000,4.712E-2,3.7714,0.0556,0.7044,0.0000,0.0000,2.462E-1,22.1715,0.2168,0.2389,0.1000,0.0000,3.256E-3,31.2918,0.3271,0.1496,0.1333,0.5000,1.089E-1,31.2918,0.3271,0.1496,0.1333,0.5000,1.089E-1,26.5275,0.2695,0.1907,0.1333,0.2500,2.378E-2,26.5219,0.2694,0.1907,0.1333,0.0000,1.323E-3,3.7714,0.0556,0.7044,0.0000,0.0000,2.462E-1,17.6415,0.1682,0.3041,0.0667,0.0000,8.551E-3
Mesfer_2,30,1.1862,1.4789,120,0.9021,4,0.8337,0.8247,0.1108,10030,0.7758,39.2354,4.3441,9.5907,0.0147,0.0000,0.6358,0.0000,45.4034,0.0000,26.5335,8.7796,44.4526,0.9348,0.0000,1.0470,0.0000,18.2525,1.1858,1.0395,1.1327,1.0754,1.1858,1.1862,1.1758,1.1862,0.9531,0.2076,0.6417,0.0195,0.1702,0.0407,0.2416,0.0004,0.0000,0.7325,0.8337,0.9871,0.8992,1.3098,0.8221,0.8337,0.8342,0.8337,0.0897,0.2528,0.4499,0.0649,-0.3739,-0.0834,0.1339,-0.0109,0.0000,1.3338,0.8224,0.8830,0.8337,0.9175,0.8211,0.8247,0.8271,0.8247,0.7336,0.5646,0.7245,0.5964,0.3634,0.3477,0.6722,0.2624,0.5000,0.9215,8.0272,0.1741,1.0000,0.0320,0.8703,0.0000,0.0000,5.737E-1,5.0000,0.0637,0.6239,0.0333,0.0000,1.515E-1,10.0000,0.0943,0.4366,0.1000,0.2500,2.239E-1,1.8313,0.0421,0.8029,0.0000,0.0000,4.156E-1,29.2139,0.3565,0.1501,0.1000,0.2500,1.202E-2,31.8582,0.4028,0.1333,0.1333,0.2500,8.527E-3,29.2139,0.3565,0.1501,0.1000,0.2500,1.202E-2,18.8748,0.2007,0.2500,0.1000,0.2500,5.081E-2,38.2332,0.4885,0.1002,0.2333,0.2500,3.722E-3,9.5970,0.0916,0.4493,0.0333,0.2500,2.405E-1,15.4248,0.1505,0.3054,0.1000,0.2500,8.783E-2
Mesfer_3,30,1.1167,1.4065,120,0.8955,4,1.4015,0.9353,0.0239,10030,0.8594,29.5351,3.6855,5.3200,0.1914,0.0000,0.4331,0.0000,59.9756,0.0000,21.5985,2.3103,19.1131,5.0830,0.0000,0.0000,0.0000,51.8951,1.1164,1.0246,1.0715,1.0634,1.1132,1.1167,1.1074,1.1167,0.7987,0.2052,0.5466,0.0195,0.1231,0.0378,0.1931,0.0002,0.0000,0.8118,1.3986,1.1594,1.3814,1.3972,1.3995,1.4015,1.3854,1.4015,1.2328,0.2792,1.1323,0.0649,-0.0139,-0.0611,0.4772,-0.0068,0.0000,0.7465,0.9354,0.9210,0.9309,0.9217,0.9343,0.9353,0.9330,0.9353,0.9365,0.6980,0.9345,0.5964,0.5562,0.4760,0.9027,0.3459,0.5000,0.8475,8.0965,0.1876,1.0000,0.0404,0.8873,0.0000,0.0000,6.199E-1,5.0000,0.0711,0.6646,0.0333,0.0000,1.951E-1,10.0000,0.1057,0.4862,0.0333,0.0000,5.59E-2,1.7440,0.0486,0.8340,0.0000,0.0000,4.838E-1,18.4536,0.1872,0.2982,0.1000,0.0000,7.908E-3,30.2032,0.3387,0.1667,0.1667,0.0000,7.722E-4,29.3139,0.3275,0.1739,0.1333,0.0000,9.141E-4,38.1147,0.4472,0.1147,0.2333,0.0000,1.728E-4,38.1147,0.4472,0.1147,0.2333,0.0000,1.728E-4,12.6620,0.1227,0.4140,0.0333,0.0000,2.936E-2,16.7104,0.1678,0.3273,0.1000,0.0000,1.148E-2
Mesfer_4,31,1.1149,1.3900,120,0.8929,3,1.5345,0.9564,0.0142,10031,0.0050,35.2565,2.4944,4.7368,0.0711,0.0000,1.6884,0.0000,55.7478,0.5321,30.7889,9.1463,18.9424,2.3473,0.0000,0.0000,0.0000,38.2430,1.1148,1.0152,1.0992,1.0581,1.1134,1.1149,1.0921,1.1149,0.7915,0.1979,0.5955,0.0211,0.0947,0.0148,0.2277,0.0000,0.0000,0.7815,1.5309,1.3324,1.2786,1.6186,1.4951,1.5349,1.6538,1.5345,1.5252,0.3716,0.8421,0.0674,0.2379,0.1588,0.2513,0.0000,0.0000,1.0279,0.9561,0.9373,0.9233,0.9564,0.9519,0.9565,0.9598,0.9564,0.9587,0.7648,0.8699,0.5964,0.7030,0.6636,0.6846,0.5000,0.5000,0.8873,8.0984,0.1878,1.0000,0.0405,0.8936,0.0000,0.0000,7.136E-1,5.0000,0.0717,0.6729,0.0323,0.0000,3.047E-1,10.0000,0.1041,0.4924,0.0323,0.0000,1.194E-1,2.1496,0.0542,0.8155,0.0000,0.0000,5.423E-1,18.5619,0.1846,0.2977,0.0968,0.0000,2.638E-2,30.8158,0.3498,0.1613,0.1613,0.0000,4.197E-3,29.3306,0.3279,0.1731,0.1290,0.0000,5.183E-3,48.6472,0.5818,0.0664,0.4516,0.0000,2.927E-4,48.6472,0.5818,0.0664,0.4516,0.0000,2.927E-4,12.0250,0.1165,0.4356,0.0323,0.0000,8.268E-2,16.8011,0.1634,0.3279,0.0968,0.0000,3.525E-2
Mesfer_5,31,1.2866,1.6124,120,0.9262,3,-0.4520,0.6351,0.2337,10031,0.0003,31.0664,5.2606,4.7535,0.4461,0.0000,0.6353,0.0000,57.8379,0.0572,16.0194,37.4419,6.5764,4.1650,0.0000,0.0701,0.0000,35.6700,1.2866,1.1912,1.2026,1.2485,1.2755,1.2866,1.2700,1.2866,0.9219,0.2186,0.6405,0.0696,0.0977,0.0136,0.2481,0.0000,0.0000,0.9037,-0.4534,-0.6479,0.1392,-0.5853,-0.3508,-0.4521,-0.3931,-0.4520,-0.0860,0.1547,0.3526,-0.7199,0.1896,0.1633,0.0486,0.0000,0.0000,-0.1979,0.6349,0.6229,0.7476,0.6374,0.6333,0.6351,0.6336,0.6351,0.6814,0.4675,0.7704,0.2634,0.7549,0.7358,0.6174,0.5000,0.5000,0.5787,7.9267,0.1564,1.0000,0.0317,0.8360,0.0000,0.3333,9.281E-1,5.0000,0.0618,0.6000,0.0000,0.3333,6.481E-1,10.0000,0.0953,0.4308,0.0000,0.3333,3.968E-1,11.3677,0.1047,0.3947,0.0000,0.3333,3.444E-1,26.5427,0.2749,0.1672,0.0968,0.3333,7.45E-2,30.2281,0.3239,0.1386,0.1290,0.3333,5.228E-2,26.5427,0.2749,0.1672,0.0968,0.3333,7.45E-2,14.0990,0.1281,0.3334,0.0323,0.3333,2.593E-1,39.1884,0.4479,0.0875,0.2903,0.3333,2.164E-2,11.3677,0.1047,0.3947,0.0000,0.3333,3.444E-1,17.2832,0.1578,0.2761,0.0645,0.3333,1.867E-1
Mesfer_6,31,1.0817,1.3562,140,0.8981,3,1.8974,0.9491,0.0345,10031,0.9021,35.3804,3.1135,4.4927,0.2096,0.0000,0.3893,0.0000,55.5125,0.7312,25.3729,19.3713,10.4934,3.2893,0.0000,0.0000,0.0000,40.7419,1.0814,0.9653,1.0373,1.0467,1.0755,1.0817,1.0728,1.0817,0.8045,0.1973,0.5830,0.0211,0.0992,0.0339,0.1968,0.0000,0.0000,0.7588,1.8955,1.9038,1.8812,1.7313,1.9308,1.8974,1.8736,1.8974,1.3130,0.3755,0.9412,0.0674,0.1801,-0.0503,0.5646,0.0000,0.0000,1.3432,0.9488,0.9322,0.9432,0.9443,0.9471,0.9491,0.9484,0.9491,0.9468,0.7707,0.9200,0.5964,0.7224,0.5543,0.8674,0.5000,0.5000,0.7877,8.1317,0.1946,1.0000,0.0445,0.8920,0.0000,0.0000,7.098E-1,5.0000,0.0748,0.6742,0.0323,0.0000,3.065E-1,10.0000,0.1135,0.4984,0.0323,0.0000,1.238E-1,2.3021,0.0572,0.8075,0.0000,0.0000,5.265E-1,20.7391,0.2082,0.2788,0.0968,0.0000,2.168E-2,31.7562,0.3509,0.1613,0.1613,0.0000,4.197E-3,36.8021,0.4221,0.1260,0.1613,0.3333,4.363E-2,35.3558,0.4021,0.1353,0.1613,0.0000,2.476E-3,35.3558,0.4021,0.1353,0.1613,0.0000,2.476E-3,2.3021,0.0572,0.8075,0.0000,0.0000,5.265E-1,17.0129,0.1715,0.3389,0.0645,0.0000,3.894E-2
Mesfer_7,31,1.1507,1.4225,120,0.9018,3,1.3067,0.8677,0.0887,10031,1.7324,29.0597,3.9615,7.6918,0.0676,0.0000,0.8712,0.0000,56.6159,3.2996,19.9801,17.4305,22.4634,1.9464,0.0000,0.0000,0.0000,34.8800,1.1490,1.0411,1.1046,1.0651,1.1490,1.1507,1.1374,1.1507,0.8847,0.2253,0.5495,0.0211,0.1522,0.0371,0.1806,0.0001,0.0000,0.8001,1.3226,1.0873,1.3070,1.6822,1.2955,1.3067,1.3452,1.3067,0.8199,0.1164,1.5474,0.0674,-0.3675,-0.0844,0.8269,-0.0047,0.0000,0.8684,0.8688,0.8813,0.8713,0.9400,0.8643,0.8677,0.8688,0.8677,0.7461,0.6000,0.7185,0.5964,0.3841,0.4195,0.7024,0.3296,0.5000,0.7707,8.0625,0.1814,1.0000,0.0334,0.8674,0.0000,0.0000,6.526E-1,5.0000,0.0683,0.6318,0.0323,0.0000,2.522E-1,10.0000,0.1008,0.4518,0.0323,0.0000,9.222E-2,1.5876,0.0418,0.8190,0.0000,0.0000,5.493E-1,29.0761,0.3432,0.1651,0.0968,0.3333,7.276E-2,31.7300,0.3875,0.1467,0.1613,0.3333,5.828E-2,29.0761,0.3432,0.1651,0.0968,0.3333,7.276E-2,14.8214,0.1528,0.3334,0.0968,0.3333,2.593E-1,14.0883,0.1414,0.3479,0.0968,0.0000,4.212E-2,10.9739,0.1079,0.4239,0.0323,0.0000,7.616E-2,15.7523,0.1653,0.3163,0.0968,0.3333,2.369E-1
Mesfer_8,31,1.1195,1.3937,140,0.9050,3,1.5100,0.8555,0.1093,10031,1.0577,40.3264,3.0058,5.2227,0.0837,0.0000,0.2909,0.0000,50.0128,0.9395,30.7332,8.5590,18.7860,2.1585,0.0000,0.0000,0.0000,38.8238,1.1190,1.0297,1.0788,1.0721,1.1174,1.1195,1.1126,1.1195,0.8476,0.2047,0.6389,0.0211,0.1066,0.0297,0.2838,0.0000,0.0000,0.7464,1.5104,1.2083,1.4547,1.4097,1.4990,1.5100,1.4693,1.5100,0.7797,0.2985,0.3664,0.0674,0.1042,-0.0049,-0.3444,0.0000,0.0000,1.4577,0.8545,0.8338,0.8409,0.8736,0.8499,0.8555,0.8513,0.8555,0.8457,0.6187,0.8220,0.5964,0.6683,0.6610,0.4841,0.5000,0.5000,0.8627,8.0939,0.1865,1.0000,0.0392,0.8898,0.0000,0.0000,7.046E-1,5.0000,0.0697,0.6609,0.0323,0.0000,2.886E-1,10.0000,0.1053,0.4796,0.0323,0.0000,1.103E-1,2.6879,0.0561,0.7771,0.0000,0.0000,4.693E-1,30.3315,0.3412,0.1606,0.0968,0.3333,6.909E-2,34.7356,0.4060,0.1298,0.1290,0.3333,4.617E-2,30.3315,0.3412,0.1606,0.0968,0.3333,6.909E-2,16.1601,0.1616,0.3334,0.0645,0.3333,2.593E-1,68.5548,0.9359,0.0190,0.6129,0.3333,1.074E-3,2.6879,0.0561,0.7771,0.0000,0.0000,4.693E-1,16.5413,0.1653,0.3264,0.0968,0.3333,2.5E-1
Mesfer_9,31,1.0705,1.3210,120,0.8951,3,1.9084,0.9719,0.0117,10031,1.2189,41.5000,2.4390,2.5963,0.0244,0.0000,0.2022,0.0000,52.0193,2.2758,36.6293,14.0798,9.4863,1.4392,0.0000,0.0000,0.0000,36.0897,1.0691,0.9492,1.0431,1.0437,1.0699,1.0705,1.0666,1.0705,0.7933,0.2082,0.6282,0.0235,0.0681,0.0138,0.2199,0.0000,0.0000,0.7438,1.9195,1.9896,1.7302,1.6692,1.8863,1.9084,1.8482,1.9084,1.3450,0.2636,0.4644,0.0446,0.4674,0.1452,0.3583,0.0000,0.0000,1.4558,0.9723,0.9746,0.9650,0.9665,0.9703,0.9719,0.9695,0.9719,0.9486,0.5932,0.8742,0.4527,0.9292,0.9072,0.7450,0.5000,0.5000,0.9029,8.1430,0.1965,1.0000,0.0438,0.9002,0.0000,0.0000,7.295E-1,5.0000,0.0748,0.6765,0.0323,0.0000,3.096E-1,10.0000,0.1162,0.4995,0.0323,0.0000,1.246E-1,4.3639,0.0708,0.7054,0.0000,0.0000,3.51E-1,21.8653,0.2218,0.2686,0.0968,0.0000,1.937E-2,32.2032,0.3520,0.1613,0.1613,0.0000,4.197E-3,34.5673,0.3815,0.1436,0.1613,0.0000,2.958E-3,51.8417,0.6201,0.0563,0.5161,0.0000,1.787E-4,51.8417,0.6201,0.0563,0.5161,0.0000,1.787E-4,4.3639,0.0708,0.7054,0.0000,0.0000,3.51E-1,17.0899,0.1764,0.3428,0.0645,0.0000,4.03E-2
Mesfer (average),30.6000,1.1382,1.4165,124.0000,0.9018,3.4000,1.2436,0.8831,0.0679,10030.6000,0.9021,35.4541,3.3022,4.8445,0.1261,0.0000,0.5480,0.0000,54.8231,0.7835,26.6422,12.5370,17.2072,3.1630,0.0000,0.1994,0.0000,39.4677,1.1374,1.0322,1.0965,1.0888,1.1352,1.1382,1.1283,1.1382,0.8411,0.2116,0.6077,0.0257,0.1052,0.0264,0.2246,0.0001,0.0000,0.7932,1.2483,1.1119,1.2318,1.2316,1.2452,1.2437,1.2423,1.2436,0.9023,0.2361,0.7108,-0.0153,0.1116,0.0314,0.2788,-0.0022,0.0000,0.9380,0.8832,0.8765,0.8868,0.8970,0.8802,0.8831,0.8821,0.8831,0.8630,0.6018,0.8408,0.5384,0.6832,0.6339,0.7256,0.4438,0.5000,0.8156,8.0751,0.1835,1.0000,0.0384,0.8819,0.0000,0.0333,0.6894,5.0000,0.0695,0.6519,0.0295,0.0333,0.2830,10.0000,0.1063,0.4741,0.0361,0.0583,0.1356,3.6344,0.0603,0.7352,0.0000,0.0333,0.4158,24.2397,0.2595,0.2256,0.0981,0.1250,0.0310,31.6932,0.3584,0.1515,0.1503,0.1750,0.0288,31.1237,0.3479,0.1555,0.1275,0.2083,0.0390,30.7705,0.3451,0.1907,0.2156,0.1500,0.0856,40.3809,0.4822,0.1212,0.3096,0.0917,0.0073,7.4289,0.0855,0.5804,0.0131,0.0583,0.2595,16.7637,0.1669,0.3210,0.0817,0.1250,0.0910
